StationName,StreetNumber,StreetName,Suburb,PostCode,State,EntranceType,EntranceLatitude,EntranceLongitude,ExitNumber,StopID
Macqueen,121,MacQueen Street,Aberdeen,2336,New South Wales,Stairs,-32.166899,150.891975,NULL,1
Macqueen,121,MacQueen Street,Aberdeen,2336,New South Wales,Ramp,-32.166886,150.891957,NULL,2
Park,7,Park Avenue,Adamstown,2289,New South Wales,Path,-32.933705,151.720451,NULL,3
St James,2a,Saint James Road,Broadmeadow,2292,New South Wales,Stairs,-32.933413,151.720363,NULL,4
St James,2a,Saint James Road,Broadmeadow,2292,New South Wales,Ramp,-32.933401,151.720347,NULL,5
Park,9,Park Avenue,Adamstown,2289,New South Wales,Path,-32.933827,151.720236,NULL,6
Burroo,207-213,Princes Highway,Albion Park Rail,2527,New South Wales,Ramp,-34.563409,150.799390,NULL,7
Princes,13,Burroo Street,Albion Park Rail,2527,New South Wales,Ramp,-34.563507,150.799189,NULL,8
Princes,207,Princes Highway,Albion Park Rail,2527,New South Wales,Stairs,-34.562939,150.798574,NULL,9
Princes,207,Princes Highway,Albion Park Rail,2527,New South Wales,Ramp,-34.562782,150.798418,NULL,10
Railway,466,Railway Parade,Allawah,2218,New South Wales,Ramp,-33.969968,151.114944,NULL,11
Roberts,7,Roberts Lane,Hurstville,2220,New South Wales,Ramp,-33.969537,151.114694,NULL,12
Roberts,7,Roberts Lane,Hurstville,2220,New South Wales,Stairs,-33.969490,151.114566,NULL,13
Railway,470,Railway Parade,Allawah,2218,New South Wales,Lift,-33.969877,151.114435,NULL,14
Railway,472,Railway Parade,Allawah,2218,New South Wales,Ramp,-33.969886,151.114240,NULL,15
Grove,66,Constitution Road,Dulwich Hill,2203,New South Wales,Path,-33.902045,151.138159,NULL,16
Constitution,66,Constitution Road,Dulwich Hill,2203,New South Wales,Path,-33.902049,151.138043,NULL,17
The Arcade,1,The Arcade,Arncliffe,2205,New South Wales,Stairs,-33.936924,151.147427,NULL,18
The Arcade,1,The Arcade,Arncliffe,2205,New South Wales,Lift,-33.936963,151.147422,NULL,19
Firth,NULL,NULL,Arncliffe,2205,New South Wales,Lift,-33.936774,151.146860,NULL,20
Firth,NULL,NULL,Arncliffe,2205,New South Wales,Stairs,-33.936717,151.146850,NULL,21
Valetta,7,Wilkes Avenue,Artarmon,2064,New South Wales,Ramp,-33.808233,151.184741,NULL,22
Hampden,88A,Hampden Road,Artarmon,2064,New South Wales,Lift,-33.808759,151.184720,NULL,23
Hampden,100,Hampden Road,Artarmon,2064,New South Wales,Stairs,-33.808540,151.184428,NULL,24
Station,7,Station Street,Ashfield,2131,New South Wales,Lift,-33.887442,151.125958,NULL,25
Station,1A,Charlotte Street,Ashfield,2131,New South Wales,Stairs,-33.887396,151.125802,NULL,26
Brown,2,Hercules Street,Ashfield,2131,New South Wales,Lift,-33.887891,151.125797,NULL,27
Brown,NULL,NULL,Ashfield,2131,New South Wales,Stairs,-33.887775,151.125539,NULL,28
Haldane,13,Haldane Street,Asquith,2077,New South Wales,Path,-33.688691,151.108265,NULL,29
Pacific,381,B83,Asquith,2077,New South Wales,Ramp,-33.688489,151.107999,NULL,30
Rawson,NULL,NULL,Auburn,2144,New South Wales,Ramp,-33.849287,151.033291,NULL,31
South,96-98,South Parade,Auburn,2144,New South Wales,Stairs,-33.849663,151.032919,NULL,32
South,3,South Parade,Auburn,2144,New South Wales,Ramp,-33.849463,151.032720,NULL,33
Gilchrist,67,Moore Street,Austinmer,2515,New South Wales,Path,-34.306520,150.929351,NULL,34
Railway,NULL,NULL,Austinmer,2515,New South Wales,Path,-34.306501,150.928907,NULL,35
Adelaide,154,Wilton Road,Awaba,2283,New South Wales,Ramp,-33.012916,151.542158,NULL,36
Adelaide,154,Wilton Road,Awaba,2283,New South Wales,Path,-33.012916,151.542132,NULL,37
Wilton,154,Wilton Road,Awaba,2283,New South Wales,Ramp,-33.013109,151.542074,NULL,38
Hattersley,80,Hattersley Street,Banksia,2216,New South Wales,Ramp,-33.944900,151.140849,NULL,39
Railway,17,Railway Street,Banksia,2216,New South Wales,Ramp,-33.944791,151.140498,NULL,40
Railway,18,Railway Street,Banksia,2216,New South Wales,Stairs,-33.944883,151.140448,NULL,41
North,80A,North Terrace,Bankstown,2200,New South Wales,Ramp,-33.917686,151.034269,NULL,42
Bankstown City,139,Bankstown City Plaza,Bankstown,2200,New South Wales,Path,-33.918052,151.034110,NULL,43
Bankstown City,NULL,NULL,Bankstown,2200,New South Wales,Path,-33.917788,151.033762,NULL,44
Hartill Law,16,Hartill-Law Avenue,Bardwell Park,2207,New South Wales,Stairs,-33.931378,151.125379,NULL,45
Great Southern,227,Great Southern Road,Bargo,2574,New South Wales,Path,-34.290978,150.580175,NULL,46
Great Southern,227,Great Southern Road,Bargo,2574,New South Wales,Ramp,-34.290984,150.580150,NULL,47
Railside,96,Old Hume Highway,Bargo,2574,New South Wales,Ramp,-34.291007,150.580020,NULL,48
Railside,96,Old Hume Highway,Bargo,2574,New South Wales,Path,-34.291044,150.580007,NULL,49
Sutherland,17,Wongala Crescent,Beecroft,2119,New South Wales,Path,-33.749216,151.066733,NULL,50
Wongala,17,Wongala Crescent,Beecroft,2119,New South Wales,Path,-33.749044,151.066337,NULL,51
Wongala,2A,Hannah Street,Beecroft,2119,New South Wales,Path,-33.749233,151.066224,NULL,52
Sandham,17,Sandham Road,Bell,2786,New South Wales,Ramp,-33.506165,150.279361,NULL,53
Chiefley,17,Sandham Road,Bell,2786,New South Wales,Stairs,-33.506234,150.279079,NULL,54
Bellambi,16,Union Street,Bellambi,2518,New South Wales,Ramp,-34.362612,150.910131,NULL,55
