Name,StopId,StreetNumber,StreetName,SuburbId,StateId,CountryId,PostCode,EntranceType,Latitude,Longitude,ExitNumber
Macqueen,2,121,MacQueen Street,15,5,2,2336,Ramp,-32.166886,150.891957,NULL
Macqueen,1,121,MacQueen Street,15,5,2,2336,Stairs,-32.166899,150.891975,NULL
Park,6,9,Park Avenue,38,5,2,2289,Path,-32.933827,151.720236,NULL
Park,3,7,Park Avenue,38,5,2,2289,Path,-32.933705,151.720451,NULL
Princes,8,13,Burroo Street,89,5,2,2527,Ramp,-34.563507,150.799189,NULL
Burroo,7,207-213,Princes Highway,89,5,2,2527,Ramp,-34.563409,150.799390,NULL
Princes,10,207,Princes Highway,89,5,2,2527,Ramp,-34.562782,150.798418,NULL
Princes,9,207,Princes Highway,89,5,2,2527,Stairs,-34.562939,150.798574,NULL
O'Riordan,340,318B,Botany Road,106,5,2,2015,Escalators,-33.906278,151.202693,NULL
O'Riordan,341,312,Botany Road,106,5,2,2015,Lift,-33.906214,151.202540,NULL
Railway,14,470,Railway Parade,130,5,2,2218,Lift,-33.969877,151.114435,NULL
Railway,11,466,Railway Parade,130,5,2,2218,Ramp,-33.969968,151.114944,NULL
Railway,15,472,Railway Parade,130,5,2,2218,Ramp,-33.969886,151.114240,NULL
Bayview,765,31,Bayview Crescent,224,5,2,2038,Ramp,-33.871953,151.172914,NULL
Bayview,764,31,Bayview Crescent,224,5,2,2038,Ramp,-33.871857,151.172948,NULL
The Crescent,766,31,Bayview Crescent,224,5,2,2038,Stairs,-33.871748,151.172869,NULL
Lake,211,460,B53,286,5,2,2284,Stairs,-32.942467,151.624430,NULL
Creek Reserve,212,460,Lake Road,286,5,2,2284,Path,-32.942875,151.623812,NULL
Firth,20,NULL,NULL,302,5,2,2205,Lift,-33.936774,151.146860,NULL
Firth,21,NULL,NULL,302,5,2,2205,Stairs,-33.936717,151.146850,NULL
The Arcade,19,1,The Arcade,302,5,2,2205,Lift,-33.936963,151.147422,NULL
The Arcade,18,1,The Arcade,302,5,2,2205,Stairs,-33.936924,151.147427,NULL
Hampden,23,88A,Hampden Road,314,5,2,2064,Lift,-33.808759,151.184720,NULL
Hampden,24,100,Hampden Road,314,5,2,2064,Stairs,-33.808540,151.184428,NULL
Valetta,22,7,Wilkes Avenue,314,5,2,2064,Ramp,-33.808233,151.184741,NULL
Brown,28,NULL,NULL,334,5,2,2131,Stairs,-33.887775,151.125539,NULL
Station,26,1A,Charlotte Street,334,5,2,2131,Stairs,-33.887396,151.125802,NULL
Brown,27,2,Hercules Street,334,5,2,2131,Lift,-33.887891,151.125797,NULL
Station,25,7,Station Street,334,5,2,2131,Lift,-33.887442,151.125958,NULL
Pacific,30,381,B83,350,5,2,2077,Ramp,-33.688489,151.107999,NULL
Haldane,29,13,Haldane Street,350,5,2,2077,Path,-33.688691,151.108265,NULL
Rawson,31,NULL,NULL,365,5,2,2144,Ramp,-33.849287,151.033291,NULL
South,33,3,South Parade,365,5,2,2144,Ramp,-33.849463,151.032720,NULL
South,32,96-98,South Parade,365,5,2,2144,Stairs,-33.849663,151.032919,NULL
Railway,35,NULL,NULL,377,5,2,2515,Path,-34.306501,150.928907,NULL
Gilchrist,34,67,Moore Street,377,5,2,2515,Path,-34.306520,150.929351,NULL
Adelaide,37,154,Wilton Road,406,5,2,2283,Path,-33.012916,151.542132,NULL
Wilton,38,154,Wilton Road,406,5,2,2283,Ramp,-33.013109,151.542074,NULL
Adelaide,36,154,Wilton Road,406,5,2,2283,Ramp,-33.012916,151.542158,NULL
Hattersley,39,80,Hattersley Street,578,5,2,2216,Ramp,-33.944900,151.140849,NULL
Railway,40,17,Railway Street,578,5,2,2216,Ramp,-33.944791,151.140498,NULL
Railway,41,18,Railway Street,578,5,2,2216,Stairs,-33.944883,151.140448,NULL
Bankstown City,44,NULL,NULL,584,5,2,2200,Path,-33.917788,151.033762,NULL
Bankstown City,43,139,Bankstown City Plaza,584,5,2,2200,Path,-33.918052,151.034110,NULL
North,42,80A,North Terrace,584,5,2,2200,Ramp,-33.917686,151.034269,NULL
Hartill Law,45,16,Hartill-Law Avenue,618,5,2,2207,Stairs,-33.931378,151.125379,NULL
Great Southern,46,227,Great Southern Road,626,5,2,2574,Path,-34.290978,150.580175,NULL
Great Southern,47,227,Great Southern Road,626,5,2,2574,Ramp,-34.290984,150.580150,NULL
Railside,49,96,Old Hume Highway,626,5,2,2574,Path,-34.291044,150.580007,NULL
Railside,48,96,Old Hume Highway,626,5,2,2574,Ramp,-34.291007,150.580020,NULL
Wongala,52,2A,Hannah Street,797,5,2,2119,Path,-33.749233,151.066224,NULL
Sutherland,50,17,Wongala Crescent,797,5,2,2119,Path,-33.749216,151.066733,NULL
Wongala,51,17,Wongala Crescent,797,5,2,2119,Path,-33.749044,151.066337,NULL
Sandham,53,17,Sandham Road,840,5,2,2786,Ramp,-33.506165,150.279361,NULL
Chiefley,54,17,Sandham Road,840,5,2,2786,Stairs,-33.506234,150.279079,NULL
Bellambi,55,16,Union Street,846,5,2,2518,Ramp,-34.362612,150.910131,NULL
Burwood,56,NULL,NULL,882,5,2,2192,Lift,-33.917248,151.088337,NULL
Burwood,57,365,Burwood Road,882,5,2,2192,Stairs,-33.917227,151.088324,NULL
Campbell,58,NULL,NULL,947,5,2,2141,Path,-33.871977,151.032828,NULL
