TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
6062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6063,Macqueen,1,121,MacQueen Street,Aberdeen,2336,New South Wales,Australia,Stairs,-32.166899,150.891975,NULL
6064,Macqueen,2,121,MacQueen Street,Aberdeen,2336,New South Wales,Australia,Ramp,-32.166886,150.891957,NULL
6065,Park,3,7,Park Avenue,Adamstown,2289,New South Wales,Australia,Path,-32.933705,151.720451,NULL
6066,St James,4,2a,Saint James Road,Broadmeadow,2292,New South Wales,Australia,Stairs,-32.933413,151.720363,NULL
6067,St James,5,2a,Saint James Road,Broadmeadow,2292,New South Wales,Australia,Ramp,-32.933401,151.720347,NULL
6068,Park,6,9,Park Avenue,Adamstown,2289,New South Wales,Australia,Path,-32.933827,151.720236,NULL
6069,Burroo,7,207-213,Princes Highway,Albion Park Rail,2527,New South Wales,Australia,Ramp,-34.563409,150.799390,NULL
6070,Princes,8,13,Burroo Street,Albion Park Rail,2527,New South Wales,Australia,Ramp,-34.563507,150.799189,NULL
6071,Princes,9,207,Princes Highway,Albion Park Rail,2527,New South Wales,Australia,Stairs,-34.562939,150.798574,NULL
6072,Princes,10,207,Princes Highway,Albion Park Rail,2527,New South Wales,Australia,Ramp,-34.562782,150.798418,NULL
6073,Railway,11,466,Railway Parade,Allawah,2218,New South Wales,Australia,Ramp,-33.969968,151.114944,NULL
6074,Roberts,12,7,Roberts Lane,Hurstville,2220,New South Wales,Australia,Ramp,-33.969537,151.114694,NULL
6075,Roberts,13,7,Roberts Lane,Hurstville,2220,New South Wales,Australia,Stairs,-33.969490,151.114566,NULL
6076,Railway,14,470,Railway Parade,Allawah,2218,New South Wales,Australia,Lift,-33.969877,151.114435,NULL
6077,Railway,15,472,Railway Parade,Allawah,2218,New South Wales,Australia,Ramp,-33.969886,151.114240,NULL
6078,Grove,16,66,Constitution Road,Dulwich Hill,2203,New South Wales,Australia,Path,-33.902045,151.138159,NULL
6079,Constitution,17,66,Constitution Road,Dulwich Hill,2203,New South Wales,Australia,Path,-33.902049,151.138043,NULL
6080,The Arcade,18,1,The Arcade,Arncliffe,2205,New South Wales,Australia,Stairs,-33.936924,151.147427,NULL
6081,The Arcade,19,1,The Arcade,Arncliffe,2205,New South Wales,Australia,Lift,-33.936963,151.147422,NULL
6082,Firth,20,NULL,NULL,Arncliffe,2205,New South Wales,Australia,Lift,-33.936774,151.146860,NULL
6083,Firth,21,NULL,NULL,Arncliffe,2205,New South Wales,Australia,Stairs,-33.936717,151.146850,NULL
6084,Valetta,22,7,Wilkes Avenue,Artarmon,2064,New South Wales,Australia,Ramp,-33.808233,151.184741,NULL
6085,Hampden,23,88A,Hampden Road,Artarmon,2064,New South Wales,Australia,Lift,-33.808759,151.184720,NULL
6086,Hampden,24,100,Hampden Road,Artarmon,2064,New South Wales,Australia,Stairs,-33.808540,151.184428,NULL
6087,Station,25,7,Station Street,Ashfield,2131,New South Wales,Australia,Lift,-33.887442,151.125958,NULL
6088,Station,26,1A,Charlotte Street,Ashfield,2131,New South Wales,Australia,Stairs,-33.887396,151.125802,NULL
6089,Brown,27,2,Hercules Street,Ashfield,2131,New South Wales,Australia,Lift,-33.887891,151.125797,NULL
6090,Brown,28,NULL,NULL,Ashfield,2131,New South Wales,Australia,Stairs,-33.887775,151.125539,NULL
6091,Haldane,29,13,Haldane Street,Asquith,2077,New South Wales,Australia,Path,-33.688691,151.108265,NULL
6092,Pacific,30,381,B83,Asquith,2077,New South Wales,Australia,Ramp,-33.688489,151.107999,NULL
6093,Rawson,31,NULL,NULL,Auburn,2144,New South Wales,Australia,Ramp,-33.849287,151.033291,NULL
6094,South,32,96-98,South Parade,Auburn,2144,New South Wales,Australia,Stairs,-33.849663,151.032919,NULL
6095,South,33,3,South Parade,Auburn,2144,New South Wales,Australia,Ramp,-33.849463,151.032720,NULL
6096,Gilchrist,34,67,Moore Street,Austinmer,2515,New South Wales,Australia,Path,-34.306520,150.929351,NULL
6097,Railway,35,NULL,NULL,Austinmer,2515,New South Wales,Australia,Path,-34.306501,150.928907,NULL
