CountryID,StateID,CityID,SuburbID,PeriodKey,SchoolID,TransportID,PropertyMedian
2,5,1,1,2,1,1,869500
2,5,1,1,2,1,1,
2,5,1,5740,2,1,1,520000
2,5,1,5874,2,1,1,450000
2,5,1,6118,2,1,1,520000
2,5,1,6738,2,1,1,450000
2,5,1,9636,2,1,1,450000
2,5,1,12112,2,1,1,450000
2,5,1,12397,2,1,1,450000
2,5,6,90,2,15,1,335000
2,5,6,3974,2,1,1,335000
2,5,6,9385,2,16,1,335000
2,5,6,11331,2,1,1,335000
2,5,6,13336,2,18,1,335000
2,5,12,720,2,123,1,407500
2,5,12,6879,2,1863,1,418630
2,5,12,11334,2,1,1,407500
2,5,12,13340,2,125,1,407500
2,5,15,1660,2,1,1,418630
2,5,16,1691,2,23,1,95000
2,5,16,1692,2,1,1,95000
2,5,16,1693,2,1,1,95000
2,5,16,1987,2,1,1,95000
2,5,16,2193,2,1,1,95000
2,5,16,4322,2,1,1,95000
2,5,16,4603,2,1,1,95000
2,5,16,6538,2,1,1,95000
2,5,16,7240,2,1,1,95000
2,5,16,8100,2,1,1,95000
2,5,16,8590,2,1,1,95000
2,5,16,9801,2,1,1,95000
2,5,16,1,2,1,1,95000
2,5,16,11341,2,1,1,95000
2,5,16,11599,2,1,1,95000
2,5,16,12245,2,1926,1,95000
2,5,25,2809,2,478,1,440000
2,5,25,2810,2,1,1,440000
2,5,25,2811,2,1,1,440000
2,5,28,3828,2,319,1,340000
2,5,28,3829,2,1,1,340000
2,5,28,3830,2,1,1,340000
2,5,28,3831,2,1,1,340000
2,5,28,9418,2,1,1,340000
2,5,28,11350,2,1,1,340000
2,5,28,13352,2,1,1,340000
2,5,37,5151,2,278,5385,418630
2,5,37,5152,2,1,1,418630
2,5,38,5180,2,838,1,321000
2,5,38,5181,2,1,1,321000
2,5,38,11362,2,781,1,321000
2,5,40,1,2,865,1,310000
2,5,40,5312,2,1,1,310000
2,5,57,4019,2,1234,5318,414500
2,5,57,1,2,1237,5425,415000
2,5,57,7543,2,1,1,369000
2,5,57,7544,2,1,1,415000
2,5,57,7545,2,1,1,415000
2,5,57,11391,2,1,5426,415000
2,5,67,9248,2,1,1,640000
2,5,67,9249,2,1,1,640000
2,5,67,9252,2,1454,5673,571000
2,5,1,10461,2,1635,1,450000
2,5,1,10462,2,1633,1,450000
2,5,1,10463,2,1,1,450000
2,5,1,1,2,1755,1,576250
2,5,1,11221,2,1756,1,657500
2,5,80,2,2,1,1,369000
2,5,80,7,2,1,1,877000
2,5,80,1,2,2,1,1365000
2,5,80,13,2,1,1,407500
2,5,80,14,2,431,1,342000
2,5,80,1,2,3,5052,
2,5,80,15,2,1,1,
2,5,80,18,2,1,1,356250
2,5,80,20,2,1,1,415000
2,5,80,22,2,4,1,317500
2,5,80,23,2,1,1,342000
2,5,80,25,2,1,1,356250
2,5,80,26,2,1,1,
2,5,80,27,2,1628,1,772500
2,5,80,29,2,1,1,
2,5,80,36,2,5,1,
2,5,80,38,2,6,5054,675000
2,5,80,39,2,140,1,675000
2,5,80,50,2,7,1,
2,5,80,55,2,8,1,329000
2,5,80,58,2,1,1,672500
2,5,80,63,2,9,1,593000
2,5,80,73,2,1,1,420000
2,5,80,88,2,12,1,585000
2,5,80,89,2,14,5058,585000
2,5,80,92,2,1,1,329000
2,5,80,100,2,1,1,255000
2,5,80,1,2,20,5391,945000
2,5,80,108,2,21,1,1202500
2,5,80,111,2,1,1,344500
2,5,80,114,2,1,1,321000
2,5,80,1,2,1,1,590000
2,5,80,118,2,1,1,367500
2,5,80,123,2,22,1,1535000
2,5,80,1,2,1,1,415000
2,5,80,130,2,1,5062,722500
2,5,80,131,2,1,1,165000
2,5,80,140,2,1,1,385000
2,5,80,145,2,1,1,360000
2,5,80,146,2,1,1,
2,5,80,148,2,1,1,
2,5,80,156,2,1,1,695000
2,5,80,159,2,1,1,583750
2,5,80,160,2,24,1,583750
2,5,80,167,2,1,1,321000
2,5,80,1,2,1,1,335000
2,5,80,175,2,27,1,593000
2,5,80,195,2,1,1,415000
2,5,80,207,2,1,1,645000
2,5,80,215,2,1,1,419000
2,5,80,216,2,1,1,
2,5,80,217,2,1,1,
2,5,80,220,2,1,1,447000
2,5,80,222,2,28,1,515000
2,5,80,1,2,29,5815,1350000
2,5,80,225,2,31,1,1585000
2,5,80,1,2,34,1,593000
2,5,80,245,2,1,1,369000
2,5,80,246,2,1,1,333000
2,5,80,249,2,1,1,397500
2,5,80,1,2,1,1,180000
2,5,80,252,2,1,1,280000
2,5,80,253,2,1,1,335000
2,5,80,254,2,1,1,555000
2,5,80,255,2,1,1,555000
2,5,80,1,2,1,1,
2,5,80,1,2,35,1,1800000
2,5,80,268,2,36,1,515500
2,5,80,277,2,1,1,
2,5,80,278,2,1,1,285000
2,5,80,279,2,37,1,95500
2,5,80,285,2,1,1,255000
2,5,80,286,2,38,5262,465000
2,5,80,287,2,1,1,
2,5,80,1,2,1,1,
2,5,80,1,2,1,1,356250
2,5,80,291,2,39,1,95500
2,5,80,292,2,1,1,407500
2,5,80,293,2,1,1,407500
2,5,80,297,2,1,1,
2,5,80,298,2,40,1,356250
2,5,80,302,2,42,5069,750000
2,5,80,303,2,1,1,710000
2,5,80,308,2,1,1,507500
2,5,80,309,2,1,1,507500
2,5,80,314,2,46,5073,980000
2,5,80,320,2,1,1,180000
2,5,80,321,2,1,1,
2,5,80,328,2,48,1,739000
2,5,80,1,2,1,1,406000
2,5,80,330,2,1,1,406000
2,5,80,331,2,1,1,406000
2,5,80,332,2,49,1,710000
2,5,80,1,2,51,5076,779000
2,5,80,335,2,53,1,
2,5,80,338,2,1,1,131500
2,5,80,339,2,54,1,344500
2,5,80,343,2,55,1,414500
2,5,80,350,2,57,5080,770000
2,5,80,356,2,1,1,
2,5,80,359,2,60,1,
2,5,80,1,2,61,5082,658500
2,5,80,367,2,1,1,251000
2,5,80,370,2,1,1,1000000
2,5,80,376,2,1,1,
2,5,80,377,2,66,5085,970000
2,5,80,380,2,67,1,
2,5,80,381,2,1,1,329000
2,5,80,387,2,69,1,1630000
2,5,80,392,2,1,1,369000
2,5,80,1,2,71,1,753000
2,5,80,394,2,70,1,747500
2,5,80,397,2,1,1,755000
2,5,80,401,2,1,1,600000
2,5,80,404,2,1,1,
2,5,80,406,2,72,5087,515500
2,5,80,409,2,1,1,695000
2,5,80,412,2,1,1,320000
2,5,80,416,2,1,1,
2,5,80,417,2,1,1,265000
2,5,80,1,2,1,1,255000
2,5,80,1,2,1,1,320000
2,5,80,419,2,1,1,340560
2,5,80,1,2,1,1,389000
2,5,80,1,2,1,1,515000
2,5,80,1,2,1,1,555000
2,5,80,1,2,1,1,165000
2,5,80,420,2,1,1,657500
2,5,80,423,2,1,1,265000
2,5,80,424,2,1,1,
2,5,80,434,2,1,1,280000
2,5,80,438,2,1,1,283250
2,5,80,439,2,1,1,283250
2,5,80,444,2,1,1,473000
2,5,80,445,2,1,1,473000
2,5,80,1,2,1,1,
2,5,80,448,2,1,1,583750
2,5,80,1,2,1,1,285000
2,5,80,1,2,1,1,340560
2,5,80,462,2,1,1,320000
2,5,80,464,2,1,1,180000
2,5,80,469,2,1,1,285000
2,5,80,473,2,1,1,580000
2,5,80,475,2,1,1,
2,5,80,1,2,1,1,452500
2,5,80,478,2,1,1,227500
2,5,80,479,2,1,1,407500
2,5,80,480,2,1,1,
2,5,80,485,2,1,1,
2,5,80,489,2,1246,1,1470000
2,5,80,490,2,77,1,1470000
2,5,80,491,2,79,1,842000
2,5,80,493,2,1,1,397500
