StateCode,State,District,CityCode,City,Suburb,PostCode,SuburbLatitude,SuburbLongitude
TAS,Tasmania,NULL,FIN,Finders Island,Wingaroo,7255,-39.898426,147.993789
TAS,Tasmania,NULL,KIN,King Island,Bungaree,7256,-39.780600,143.904354
TAS,Tasmania,NULL,KIN,King Island,Currie,7256,-39.931075,143.850667
TAS,Tasmania,NULL,KIN,King Island,Egg Lagoon,7256,-39.645659,143.973215
TAS,Tasmania,NULL,KIN,King Island,Grassy,7256,-40.048558,144.056784
TAS,Tasmania,NULL,KIN,King Island,Loorana,7256,-39.830500,143.893066
TAS,Tasmania,NULL,KIN,King Island,Lymwood,7256,-39.991177,143.969564
TAS,Tasmania,NULL,KIN,King Island,Naracoopa,7256,-39.922632,144.122908
TAS,Tasmania,NULL,KIN,King Island,Nugara,7256,-39.940779,143.898878
TAS,Tasmania,NULL,KIN,King Island,Pearshape,7256,-40.063418,143.932676
TAS,Tasmania,NULL,KIN,King Island,Pegarah,7256,-39.943757,143.997043
TAS,Tasmania,NULL,KIN,King Island,Reekara,7256,-39.762298,143.912066
TAS,Tasmania,NULL,KIN,King Island,Sea Elephant,7256,-39.864414,144.003418
TAS,Tasmania,NULL,KIN,King Island,Surprise Bay,7256,-40.115198,143.915972
TAS,Tasmania,NULL,KIN,King Island,Wickham,7256,-39.608784,143.960285
TAS,Tasmania,NULL,KIN,King Island,Yambacoona,7256,-39.695327,143.958739
TAS,Tasmania,NULL,KIN,King Island,Yarra Creek,7256,-39.992283,144.092094
TAS,Tasmania,NULL,LAU,Launceston,Cape Barren Island,7257,-40.391808,148.232722
TAS,Tasmania,NULL,LAU,Launceston,Breadalbane,7258,-41.527814,147.187315
TAS,Tasmania,NULL,LAU,Launceston,Relbia,7258,-41.505778,147.202068
TAS,Tasmania,NULL,LAU,Launceston,White Hills,7258,-41.504439,147.252206
TAS,Tasmania,NULL,LAU,Launceston,Myrtle Bank,7259,-41.294679,147.351311
TAS,Tasmania,NULL,LAU,Launceston,Nunamara,7259,-41.388395,147.302991
TAS,Tasmania,NULL,LAU,Launceston,Patersonia,7259,-41.336617,147.305078
TAS,Tasmania,NULL,LAU,Launceston,Targa,7259,-41.315250,147.367333
TAS,Tasmania,NULL,LAU,Launceston,Tayene,7259,-41.362323,147.462361
TAS,Tasmania,NULL,LAU,Launceston,Blumont,7260,-41.154156,147.411004
TAS,Tasmania,NULL,LAU,Launceston,Cuckoo,7260,-41.201047,147.579610
TAS,Tasmania,NULL,LAU,Launceston,Forester,7260,-41.088210,147.676186
TAS,Tasmania,NULL,LAU,Launceston,Jetsonville,7260,-41.128181,147.484664
TAS,Tasmania,NULL,LAU,Launceston,Kamona,7260,-41.155162,147.673102
TAS,Tasmania,NULL,LAU,Launceston,Lietinna,7260,-41.156293,147.465817
TAS,Tasmania,NULL,LAU,Launceston,Lisle,7260,-41.234213,147.325665
TAS,Tasmania,NULL,LAU,Launceston,Nabowla,7260,-41.174163,147.368891
TAS,Tasmania,NULL,LAU,Launceston,North Scottsdale,7260,-41.116275,147.585209
TAS,Tasmania,NULL,LAU,Launceston,Scottsdale,7260,-41.161106,147.516386
TAS,Tasmania,NULL,LAU,Launceston,South Springfield,7260,-41.256949,147.506880
TAS,Tasmania,NULL,LAU,Launceston,Springfield,7260,-41.210525,147.486294
TAS,Tasmania,NULL,LAU,Launceston,Tonganah,7260,-41.173383,147.585416
TAS,Tasmania,NULL,LAU,Launceston,Tulendeena,7260,-41.178241,147.658941
TAS,Tasmania,NULL,LAU,Launceston,West Scottsdale,7260,-41.183974,147.448273
TAS,Tasmania,NULL,LAU,Launceston,Branxholm,7261,-41.168485,147.738812
TAS,Tasmania,NULL,LAU,Launceston,Warrentinna,7261,-41.081481,147.745289
TAS,Tasmania,NULL,LAU,Launceston,Bridport,7262,-41.002975,147.394214
TAS,Tasmania,NULL,LAU,Launceston,Tomahawk,7262,-40.869347,147.754561
TAS,Tasmania,NULL,LAU,Launceston,Waterhouse,7262,-40.923956,147.653439
TAS,Tasmania,NULL,LAU,Launceston,Alberton,7263,-41.293087,147.789324
TAS,Tasmania,NULL,LAU,Launceston,Legerwood,7263,-41.222845,147.711614
TAS,Tasmania,NULL,LAU,Launceston,Ringarooma,7263,-41.241524,147.736368
TAS,Tasmania,NULL,LAU,Launceston,Talawa,7263,-41.278868,147.718852
TAS,Tasmania,NULL,LAU,Launceston,Trenah,7263,-41.308487,147.681576
TAS,Tasmania,NULL,LAU,Launceston,Boobyalla,7264,-40.893601,147.878822
TAS,Tasmania,NULL,LAU,Launceston,Cape Portland,7264,-40.784899,147.993937
TAS,Tasmania,NULL,LAU,Launceston,Derby,7264,-41.147552,147.801395
TAS,Tasmania,NULL,LAU,Launceston,Eddystone,7264,-40.990901,148.345454
TAS,Tasmania,NULL,LAU,Launceston,Eddystone Point,7264,-41.008953,148.291369
TAS,Tasmania,NULL,LAU,Launceston,Gladstone,7264,-40.959990,148.009571
TAS,Tasmania,NULL,LAU,Launceston,Herrick,7264,-41.103319,147.879466
TAS,Tasmania,NULL,LAU,Launceston,Moorina,7264,-41.126699,147.869979
TAS,Tasmania,NULL,LAU,Launceston,Musselroe Bay,7264,-40.830766,148.178767
TAS,Tasmania,NULL,LAU,Launceston,Pioneer,7264,-41.082401,147.933124
TAS,Tasmania,NULL,LAU,Launceston,Rushy Lagoon,7264,-40.858675,148.015682
TAS,Tasmania,NULL,LAU,Launceston,South Mount Cameron,7264,-41.038867,147.954573
TAS,Tasmania,NULL,LAU,Launceston,Telita,7264,-41.135023,147.762761
TAS,Tasmania,NULL,LAU,Launceston,Weldborough,7264,-41.212620,147.882437
TAS,Tasmania,NULL,LAU,Launceston,Banca,7265,-41.023289,147.801828
TAS,Tasmania,NULL,LAU,Launceston,Winnaleah,7265,-41.098165,147.826302
TAS,Tasmania,NULL,LAU,Launceston,Bangor,7267,-41.217518,147.137044
TAS,Tasmania,NULL,LAU,Launceston,Karoola,7267,-41.261477,147.158873
TAS,Tasmania,NULL,LAU,Launceston,Lalla,7267,-41.259490,147.179268
TAS,Tasmania,NULL,LAU,Launceston,Lower Turners Marsh,7267,-41.208038,147.118602
TAS,Tasmania,NULL,LAU,Launceston,Turners Marsh,7267,-41.289168,147.128699
TAS,Tasmania,NULL,LAU,Launceston,Lilydale,7268,-41.250344,147.217213
TAS,Tasmania,NULL,LAU,Launceston,North Lilydale,7268,-41.230932,147.235462
TAS,Tasmania,NULL,LAU,Launceston,Underwood,7268,-41.295400,147.202656
TAS,Tasmania,NULL,LAU,Launceston,Badger Head,7270,-41.101676,146.674021
TAS,Tasmania,NULL,LAU,Launceston,Beaconsfield,7270,-41.201299,146.816927
TAS,Tasmania,NULL,LAU,Launceston,Beauty Point,7270,-41.158477,146.822251
TAS,Tasmania,NULL,LAU,Launceston,Clarence Point,7270,-41.134742,146.788656
TAS,Tasmania,NULL,LAU,Launceston,Flowery Gully,7270,-41.244630,146.821352
TAS,Tasmania,NULL,LAU,Launceston,Greens Beach,7270,-41.088622,146.742383
TAS,Tasmania,NULL,LAU,Launceston,Kayena,7270,-41.193803,146.895730
TAS,Tasmania,NULL,LAU,Launceston,Kelso,7270,-41.102182,146.792816
TAS,Tasmania,NULL,LAU,Launceston,Rowella,7270,-41.178360,146.916219
TAS,Tasmania,NULL,LAU,Launceston,Sidmouth,7270,-41.218674,146.889583
TAS,Tasmania,NULL,LAU,Launceston,York Town,7270,-41.153404,146.765575
TAS,Tasmania,NULL,LAU,Launceston,Blackwall,7275,-41.305130,146.966495
TAS,Tasmania,NULL,LAU,Launceston,Deviot,7275,-41.232855,146.932353
TAS,Tasmania,NULL,LAU,Launceston,Exeter,7275,-41.300230,146.953434
TAS,Tasmania,NULL,LAU,Launceston,Frankford,7275,-41.337433,146.769443
TAS,Tasmania,NULL,LAU,Launceston,Glengarry,7275,-41.331326,146.876387
TAS,Tasmania,NULL,LAU,Launceston,Holwell,7275,-41.278510,146.783305
TAS,Tasmania,NULL,LAU,Launceston,Lanena,7275,-41.306977,146.961100
TAS,Tasmania,NULL,LAU,Launceston,Loira,7275,-41.269329,146.916398
TAS,Tasmania,NULL,LAU,Launceston,Notley Hills,7275,-41.342991,146.926575
TAS,Tasmania,NULL,LAU,Launceston,Robigana,7275,-41.260319,146.947635
TAS,Tasmania,NULL,LAU,Launceston,Swan Point,7275,-41.255161,146.973070
TAS,Tasmania,NULL,LAU,Launceston,Winkleigh,7275,-41.295016,146.846092
TAS,Tasmania,NULL,LAU,Launceston,Gravelly Beach,7276,-41.276981,146.977952
TAS,Tasmania,NULL,LAU,Launceston,Bridgenorth,7277,-41.378544,146.974938
TAS,Tasmania,NULL,LAU,Launceston,Grindelwald,7277,-41.349339,147.006882
TAS,Tasmania,NULL,LAU,Launceston,Legana,7277,-41.367237,147.045371
TAS,Tasmania,NULL,LAU,Launceston,Rosevears,7277,-41.328807,147.008328
