SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,StateName,PostCode,CountryName,LevelOfSchooling,SchoolSubType,LocationLatitude,LocationLongitude,SchoolGender,SchoolSpecialityType
8258,Bellingen High School,1125,Waterfall Way,Bellingen,,New South Wales,2454,Australia,Secondary School,Year 7 to Year 12,-30.455123,152.908442,Coed,Comprehensive
8259,Callaghan College Wallsend Campus,NULL,NULL,Wallsend,,New South Wales,2287,Australia,Secondary School,Year 7 to Year 10,-32.892950,151.669289,Coed,Junior College
8260,Bonnyrigg High School,682,Cabramatta Road West,Bonnyrigg,,New South Wales,2177,Australia,Secondary School,Year 7 to Year 12,-33.894982,150.893167,Coed,Comprehensive
8261,Cronulla High School,NULL,NULL,Kurnell,,New South Wales,2231,Australia,Secondary School,Year 7 to Year 12,-34.038439,151.159056,Coed,Comprehensive
8262,Ingleburn High School,4,Coucal Place,Ingleburn,,New South Wales,2565,Australia,Secondary School,Year 7 to Year 12,-34.005121,150.871520,Coed,Comprehensive
8263,J J Cahill Memorial High School,17,Horner Avenue,Mascot,,New South Wales,2020,Australia,Secondary School,Year 7 to Year 12,-33.927435,151.201835,Coed,Comprehensive
8265,Sefton High School,45,Hector Street,Sefton,,New South Wales,2162,Australia,Secondary School,Year 7 to Year 12,-33.879538,151.008799,Coed,Comprehensive
8266,James Fallon High School,412,Fallon Street,North Albury,,New South Wales,2640,Australia,Secondary School,Year 7 to Year 12,-36.060244,146.928971,Coed,Comprehensive
8268,Glenwood High School,NULL,NULL,Glenwood,,New South Wales,2768,Australia,Secondary School,Year 7 to Year 12,-33.733029,150.937429,Coed,Comprehensive
8269,Chester Hill High School,33,Treloar Crescent,Chester Hill,,New South Wales,2162,Australia,Secondary School,Year 7 to Year 12,-33.874032,150.995411,Coed,Comprehensive
8270,Wee Waa High School,23348,Kamilaroi Highway,Wee Waa,,New South Wales,2388,Australia,Secondary School,Year 7 to Year 12,-30.219777,149.457028,Coed,Comprehensive
8271,Lucas Heights Community School,NULL,NULL,Barden Ridge,,New South Wales,2234,Australia,Central/Community School,Kinder to Year 12,-34.035778,151.004817,Coed,Comprehensive
8272,Coffs Harbour Senior College,NULL,NULL,Coffs Harbour,,New South Wales,2450,Australia,Secondary School,Year 11 to Year 12,-30.330173,153.102656,Coed,Senior College
8273,Cecil Hills High School,NULL,NULL,Cecil Hills,,New South Wales,2171,Australia,Secondary School,Year 7 to Year 12,-33.895704,150.852043,Coed,Comprehensive
8274,Tuggerah Lakes Secondary College Tumbi Umbi Campus,150,Bellevue Road,Tumbi Umbi,,New South Wales,2261,Australia,Secondary School,Year 7 to Year 10,-33.395596,151.454054,Coed,Junior College
8276,Glenmore Park High School,6,Naoi Place,Glenmore Park,,New South Wales,2745,Australia,Secondary School,Year 7 to Year 12,-33.791012,150.672564,Coed,Comprehensive
8277,Wyndham College,NULL,NULL,Schofields,,New South Wales,2762,Australia,Secondary School,Year 11 to Year 12,-33.724004,150.875297,Coed,Senior College
