StateCode,State,District,City,Suburb,PostCode,Location,PropertyMedianValue,UpdatedYear,UpdatedMonth
NSW,NEW SOUTH WALES,NULL,SYDNEY,Dawes Point,2000,NULL,1044350.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Haymarket,2000,NULL,1044350.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Millers Point,2000,NULL,1044350.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Parliament House,2000,NULL,1044350.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Sydney,2000,NULL,1044350.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Sydney South,2000,NULL,1044350.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,The Rocks,2000,NULL,1044350.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Broadway,2007,NULL,1051540.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Ultimo,2007,NULL,1051540.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Chippendale,2008,NULL,1052500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Darlington,2008,NULL,1052500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Pyrmont,2009,NULL,985000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Darlinghurst,2010,NULL,1250000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Surry Hills,2010,NULL,1250000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Elizabeth Bay,2011,NULL,850000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hmas Kuttabul,2011,NULL,850000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Potts Point,2011,NULL,850000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rushcutters Bay,2011,NULL,850000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Woolloomooloo,2011,NULL,850000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Alexandria,2015,NULL,945000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Beaconsfield,2015,NULL,945000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Eveleigh,2015,NULL,945000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Redfern,2016,NULL,1120000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Waterloo,2017,NULL,910000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Zetland,2017,NULL,910000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Eastlakes,2018,NULL,800000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rosebery,2018,NULL,800000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Banksmeadow,2019,NULL,1070000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Botany,2019,NULL,1070000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Mascot,2020,NULL,1057500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Sydney Domestic Airport,2020,NULL,1057500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Sydney International Airport,2020,NULL,1057500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Moore Park,2021,NULL,2100000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Paddington,2021,NULL,2100000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bondi Junction,2022,NULL,1310000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bondi Junction Plaza,2022,NULL,1310000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Queens Park,2022,NULL,1310000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bellevue Hill,2023,NULL,1385000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bronte,2024,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Waverley,2024,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Woollahra,2025,NULL,2006000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bondi,2026,NULL,1345000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bondi Beach,2026,NULL,1345000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Bondi,2026,NULL,1345000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Tamarama,2026,NULL,1345000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Darling Point,2027,NULL,1915000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Edgecliff,2027,NULL,1915000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hmas Rushcutters,2027,NULL,1915000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Point Piper,2027,NULL,1915000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Double Bay,2028,NULL,2230000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rose Bay,2029,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Dover Heights,2030,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hmas Watson,2030,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rose Bay North,2030,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Vaucluse,2030,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Watsons Bay,2030,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Clovelly,2031,NULL,1245000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Clovelly West,2031,NULL,1245000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Randwick,2031,NULL,1245000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,St Pauls,2031,NULL,1245000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Daceyville,2032,NULL,1870000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Kingsford,2032,NULL,1870000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Kensington,2033,NULL,980000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Coogee,2034,NULL,1275000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,South Coogee,2034,NULL,1275000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Maroubra,2035,NULL,1400000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Maroubra South,2035,NULL,1400000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Pagewood,2035,NULL,1400000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Chifley,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Eastgardens,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hillsdale,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,La Perouse,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Little Bay,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Malabar,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Matraville,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Phillip Bay,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Port Botany,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Forest Lodge,2037,NULL,1433750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Glebe,2037,NULL,1433750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Annandale,2038,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rozelle,2039,NULL,1593000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Leichhardt,2040,NULL,1480000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lilyfield,2040,NULL,1480000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Balmain,2041,NULL,1750000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Balmain East,2041,NULL,1750000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Birchgrove,2041,NULL,1750000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Enmore,2042,NULL,1192500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Newtown,2042,NULL,1192500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Erskineville,2043,NULL,1080000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,St Peters,2044,NULL,1301500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Sydenham,2044,NULL,1301500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Tempe,2044,NULL,1301500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Haberfield,2045,NULL,1910000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Abbotsford,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Canada Bay,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Chiswick,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Five Dock,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rodd Point,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Russell Lea,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Wareemba,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Drummoyne,2047,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Stanmore,2048,NULL,1360000.00,2017,6
