SchoolId,SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,PostCode,State,Country,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1001,Abbotsford Public School,348,Great North Road,Abbotsford,,2046,New South Wales,Australia,Primary School,-33.852728,151.131206,Comprehensive,Kinder to Year 6,Coed
3,1002,Aberdeen Public School,8,Graeme Street,Aberdeen,,2336,New South Wales,Australia,Primary School,-32.166098,150.888095,Comprehensive,Kinder to Year 6,Coed
4,1003,Abermain Public School,6,Goulburn Street,Abermain,,2326,New South Wales,Australia,Primary School,-32.808920,151.426499,Comprehensive,Kinder to Year 6,Coed
5,1007,Adaminaby Public School,9,Cosgrove Street,Adaminaby,,2629,New South Wales,Australia,Primary School,-35.993292,148.776721,Comprehensive,Kinder to Year 6,Coed
6,1008,Adamstown Public School,1A,Bryant Street,Adamstown,,2289,New South Wales,Australia,Primary School,-32.932213,151.730971,Comprehensive,Kinder to Year 6,Coed
7,1009,Adelong Public School,50,Gilmore Street,Adelong,,2729,New South Wales,Australia,Primary School,-35.312333,148.062802,Comprehensive,Kinder to Year 6,Coed
8,3640,Afterlee Public School,2078,Afterlee Road,Afterlee,,2474,New South Wales,Australia,Primary School,-28.582276,152.817857,Comprehensive,Kinder to Year 6,Coed
9,8493,Airds High School,2,Briar Road,Airds,,2560,New South Wales,Australia,Secondary School,-34.086883,150.827109,Comprehensive,Year 7 to Year 12,Coed
10,5748,Ajuga School,NULL,Unnamed Road,Glenfield,,2167,New South Wales,Australia,Schools for Specific Purposes,-33.969521,150.878033,Comprehensive,Emotional disturbance,Coed
11,4177,Albert Park Public School,344,Keen Street,East Lismore,,2480,New South Wales,Australia,Primary School,-28.821563,153.272498,Comprehensive,Kinder to Year 6,Coed
12,8586,Albion Park High School,27,Scarborough Circuit,Albion Park,,2527,New South Wales,Australia,Secondary School,-34.576702,150.773359,Comprehensive,Year 7 to Year 12,Coed
13,1015,Albion Park Public School,154,Tongarra Road,Albion Park,,2527,New South Wales,Australia,Primary School,-34.570257,150.772620,Comprehensive,Kinder to Year 6,Coed
14,4121,Albion Park Rail Public School,16,Gow Avenue,Albion Park Rail,,2527,New South Wales,Australia,Primary School,-34.567550,150.798668,Comprehensive,Kinder to Year 6,Coed
15,8101,Albury High School,646,Jones Street,Albury,,2640,New South Wales,Australia,Secondary School,-36.072846,146.915442,Comprehensive,Year 7 to Year 12,Coed
16,3922,Albury North Public School,317,Fallon Street,North Albury,,2640,New South Wales,Australia,Primary School,-36.064177,146.932402,Comprehensive,Kinder to Year 6,Coed
17,1017,Albury Public School,481,David Street,Albury,,2640,New South Wales,Australia,Primary School,-36.082454,146.919253,Comprehensive,Kinder to Year 6,Coed
